Model,Accuracy,Precision,Recall,F1-Score
DeiT-Small,0.8553,0.85,0.85,0.85
MedNeXt,0.9,0.9,0.9,0.9
ResNet50,0.913,0.89,0.89,0.89
ConvNeXt Tiny,0.9842,0.984,0.984,0.984
Ensemble,0.9905,0.9904,0.9921,0.9912
